HTkode;forrigekode;FP;SP;Klasse
FA-0-01;3AR-DE;2;4;HT
FA-0-02;3Ab-Es;3;4;HT
FA-0-03;3ER-GJ;4;4;HT
FA-0-04;3Ab-Es;1;4;HT
FA-0-06;3AR-Es;1;4;HT
FA-0-07;3AR-DE;1;4;HT
FA-0-09;3ER-sP;4;4;HT
FD-0-01;3AR-Eb;4;4;HT
FD-0-02;3AR-DE;2;4;HT
FD-0-03;3EL-ME;4;4;HT
FD-0-04;3ER-Rb;1;4;HT
FD-0-05;3ER-RL;4;4;HT
FD-0-06;3ER-Rb;2;4;HT
FD-0-08;3AR-Es;3;4;HT
FD-0-09;3ER-VD;4;4;HT
FD-0-10;3AR-EV;4;4;HT
FD-0-11;3AR-LV;4;4;HT
FE-0-04;3Ik-sP;4;4;HT
FF-0-01;3FP-IP;4;4;HT
FF-0-02;3FP-PI;4;4;HT
FF-0-03;3FP-sb;2;4;HT
FF-0-04;3FP-sM;4;4;HT
FG-0-01;3kJ-DO;4;4;HT
FG-0-02;3kJ-kG;4;4;HT
FG-0-03;3kJ-kO;4;4;HT
FG-0-05;3kJ-kT;4;4;HT
FH-0-01;3Eb-bO;4;4;HT
FH-0-02;3Ab-EN;1;4;HT
FH-0-03;3Ab-DG;4;4;HT
FH-0-04;3Ab-DR;2;4;HT
FH-0-06;3Ab-FL;4;4;HT
FH-0-12;3Eb-HD;4;4;HT
FH-0-14;3Ab-Is;4;4;HT
FH-0-15;3MR-Ps;4;4;HT
FH-0-16;3Eb-ss;4;4;HT
FH-0-17;3ER-JE;4;4;HT
FH-0-20;3Ab-DR;1;4;HT
FH-0-22;3Ab-PF;4;4;HT
FH-0-23;3Ab-EN;1;4;HT
FH-0-24;3Ab-RO;4;4;HT
FH-0-25;3Eb-Rs;4;4;HT
FH-0-27;3Eb-TI;4;4;HT
FH-0-29;3Eb-UD;4;4;HT
FI-0-01;3kP-kG;4;4;HT
FI-0-02;3kP-kk;4;4;HT
FI-0-05;3AR-Ls;4;4;HT
FI-0-06;3kP-RA;4;4;HT
FI-0-09;3kP-SV;4;4;HT
FI-0-10;3kP-SV;4;4;HT
FK-0-03;3kJ-kA;4;4;HT
FL-0-01;3ML-FV;4;4;HT
FL-0-02;3ML-FU;4;4;HT
FL-0-03;3ER-JP;4;4;HT
FL-0-04;3ML-Js;4;4;HT
FL-0-05;3ML-Ls;4;4;HT
FL-0-07;3ML-SV;4;4;HT
FL-0-08;3ML-TA;4;4;HT
FL-0-09;3ML-PT;4;4;HT
FL-0-10;3MR-MR;4;4;HT
FM-0-03;3MR-Vs;?;;HT
FN-0-01;3Ik-MD;?;;HT
FN-0-03;3Ik-UG;1;4;HT
FN-0-04;3Ik-UG;2;4;HT
FN-0-05;3Ik-UG;1;4;HT
FO-0-02;3VI;4;4;HT
FP-0-01;3Ik-HA;3;4;HT
FP-0-02;3Ik-HA;1;4;HT
FP-0-06;3Ik-VU;3;4;HT
FP-0-07;3Ik-VU;1;4;HT
FP-0-08;3Ik-VU;1;4;HT
TA-0-01;3TO-GV;4;4;HT
TA-0-02;3TO-FA;4;4;HT
TB-0-01;3TO-Gs;3;4;HT
TB-0-02;3TO-Gs;0;4;HT
TB-0-03;3TO-bA;4;4;HT
TB-0-04;3TO-sT;2;4;HT
TB-0-05;3TO-sT;1;4;HT
TC-0-01;3TO-Dk;4;4;HT
TD-0-01;3TO-FL;1;4;HT
TD-0-02;3TO-FL;2;4;HT
TD-0-03;3TO-FL;0;4;HT
TE-0-01;3TO-bØ;4;4;HT
TE-0-02;3TO-PA;4;4;HT
TE-0-03;3TO-bs;4;4;HT
TF-0-01;3TO-PL;4;2;HT
TG-0-01;3TO-PL;4;2;HT
TH-0-01;3TO-HA;4;4;HT
TH-0-02;3TO-HN;4;4;HT
TH-0-03;3TO-HP;4;4;HT
TH-0-04;3TO-Hk;4;4;HT
TH-0-06;3TO-HE;4;4;HT
BA-0-01;3bF-Pb;4;4;HT
BA-0-02;3bF-sb;4;4;HT
BA-0-03;3bF-Db;1;4;HT
BA-0-04;3bF-Db;2;4;HT
BA-0-05;3bF-bb;4;4;HT
BA-0-06;3bF-Ds;4;4;HT
BA-0-07;3bF-Rb;4;4;HT
BA-0-09;3FP-sb;1;4;HT
NM-A-01;M3;3;4;HT
NM-A-02;M1;;;HT
NM-A-03;M2;;;HT
NM-A-04;M4;2;4;HT
NM-A-05;M4;3;4;HT
NM-A-06;M5;;;HT
NM-B-01;M8;4;4;HT
NM-B-02;M7;4;4;HT
NM-B-03;M6;4;4;HT
NM-C-01;M3;1;4;HT
NM-C-02;M1;0;4;HT
NM-C-03;M9;4;4;HT
NM-C-04;M5;0;4;HT
NM-C-05;M10;4;4;HT
NM-C-06;M11;4;4;HT
NM-C-07;M12;4;4;HT
NM-C-08;M13;4;4;HT
NM-C-09;I2;4;4;HT
NM-C-10;I2;4;4;HT
NM-F-01;M7;1;4;HT
NM-M-01;M14,M15;4;4;HT
NM-M-02;M15-4;4;3;HT
NL-A-01;L1;4;4;HT
NL-A-02;L2;4;4;HT
NL-A-03;L3;4;4;HT
NL-B-01;L4;4;4;HT
NL-B-02;L5;1;4;HT
NL-C-01;L6;4;4;HT
NL-C-02;L7;4;4;HT
NL-C-03;L8;4;4;HT
NL-C-04;L9;4;4;HT
NL-G-01;L11;4;4;HT
NL-J-01;L12;4;4;HT
NL-M-01;L14;4;4;HT
NL-M-02;L15;4;4;HT
NL-M-04;L16;4;4;HT
NL-M-05;L17;4;4;HT
NO-A-01;O1;4;4;HT
NO-A-02;O2;4;4;HT
NO-B-01;L5;2;4;HT
NO-C-01;O3;4;4;HT
NO-C-02;O4;4;4;HT
NO-G-01;O5;4;4;HT
NO-M-01;O6;4;4;HT
NO-M-02;O6;4;4;HT
NT-A-01;T1;4;4;HT
NT-A-02;T1;4;4;HT
NT-A-03;T3;4;3;HT
NT-A-04;T22, T9;4;3;HT
NT-B-01;T4;3;4;HT
NT-C-01;T6;4;4;HT
NT-C-02;T5;4;4;HT
NT-C-03;T21,T29;1;4;HT
NT-C-04;T11;2;2;HT
NT-C-05;T12;4;4;HT
NT-C-06;T8;3;4;HT
NT-C-07;T8-5;4;4;HT
NT-C-08;T7;4;4;HT
NT-D-01;T13;4;4;HT
NT-D-03;T16;4;4;HT
NT-D-04;T15;4;4;HT
NT-D-05;T32;4;0;HT
NT-D-06;T14, T10-2;4;4;HT
NT-E-01;T21;3;4;HT
NT-E-02;T17;2;4;HT
NT-E-03;T18;2;4;HT
NT-E-04;T18-6;4;4;HT
NT-E-05;T19;4;4;HT
NT-E-06;T24;4;4;HT
NT-E-07;T23;4;4;HT
NT-E-08;T18;1;4;HT
NT-E-09;T20;4;3;HT
NT-F-01;T4;0;4;HT
NT-F-02;T30;4;4;HT
NT-G-01;T17-4,27,28,29;3;3;HT
NT-H-01;T31;3;3;HT
NT-I-01;T4, T38;4;3;HT
NT-K-01;T32;4;4;HT
NT-K-02;T33;4;4;HT
NT-K-03;T34;4;4;HT
NT-M-01;T39-1,2,3,4,7,8;4;4;HT
NT-M-02;T39-5,6;4;4;HT
NT-M-03;T35, T37;3;4;HT
NT-M-04;T36-2,3;4;4;HT
NT-M-05;T36-1;4;4;HT
NT-M-06;T38;3;2;HT
NT-N-01;T42;4;4;HT
NT-N-02;T40;4;4;HT
NT-N-03;T43;4;4;HT
NT-O-01;T44;4;4;HT
NT-O-02;T41;4;4;HT
NT-O-03;T45;2;4;HT
NT-O-04;T45;1;4;HT
NV-A-01;V1;4;4;HT
NV-B-01;V2;4;4;HT
NV-C-01;V3;2;4;HT
NV-C-02;V4-6,7,8,9;4;4;HT
NV-C-03;V4-6,7,8,9;4;4;HT
NV-C-04;V6;4;4;HT
NV-C-05;V7;3;3;HT
NV-F-01;V3-6;2;4;HT
NV-F-02;V8;4;4;HT
NV-K-01;V9;2;4;HT
NV-K-02;V10;2;4;HT
NV-M-01;V11, V12;2;4;HT
NV-M-02;V13-8;4;4;HT
NV-M-03;V13-2,4,6;4;4;HT
NV-M-04;V11, V12;1;4;HT
NV-M-05;V13-7;4;4;HT
NV-M-06;V13-1,3,5;4;4;HT
NV-O-01;V9;0;4;HT
NI-A-01;I1, I2;4;4;HT
NS-A-01;H1-1,5;2;2;HT
NS-C-01;H1-2,3,4;3;3;HT
NS-C-02;H2-1;1;2;HT
NS-C-03;H2-1;0;1;HT
NS-C-04;H3;4;2;HT
NS-C-05;H2-2,3,4,5,6,7,8;4;4;HT
NS-C-06;H1-1,5;1;4;HT
NS-M-01;H4-4;4;4;HT
NS-M-02;H4-1;4;4;HT
NS-M-03;H4-2;4;3;HT
NF-A-01;F3;4;4;HT
NF-A-02;F4;4;4;HT
NF-B-01;F1;4;4;HT
NF-B-02;F2;4;4;HT
NF-B-03;F8;4;4;HT
NF-C-01;F5;4;4;HT
NF-C-02;6;4;4;HT
NF-C-04;F7;4;4;HT
NF-M-01;F9;4;4;HT
NF-M-02;F10;4;4;HT
NF-M-03;F11;4;4;HT
NF-M-04;F12;4;4;HT
NF-M-05;F13;4;4;HT
